time,b_g,b_g_std,b_s,b_s_std,b_m,b_m_std
1995-06-30,,,,,,
1995-09-30,31.848529815673828,34.918099809313333,0.29103291034698486,47.358718714883253,83.872566223144531,27.931522765823846
1995-12-31,-23.022024154663086,34.981439758216936,0.25211545825004578,39.978423787689486,83.937911987304688,17.740462500506599
1996-03-31,-17.358240127563477,23.661533727678449,0.46613761782646179,17.566802782926207,89.682548522949219,21.293979803489197
1996-06-30,36.245193481445312,19.430220523301852,-0.93611437082290649,21.242576542121238,89.540534973144531,24.283130913187389
1996-09-30,25.817541122436523,22.286662090415518,0.91205531358718872,21.565776349070045,87.783645629882812,23.791024530868118
1996-12-31,-27.69703483581543,20.711421559368038,1.1987453699111938,15.270397994979685,88.956871032714844,21.011865959555408
1997-03-31,-17.93609619140625,22.950386627916391,1.0495377779006958,15.927493737996221,90.192359924316406,20.391208857571545
1997-06-30,35.681045532226562,20.518155493587422,-1.110648512840271,23.267779785419211,87.674003601074219,25.480484330931318
1997-09-30,27.102354049682617,22.488616419147085,0.52654600143432617,21.158150104701644,88.862449645996094,23.498180488881918
1997-12-31,-27.722496032714844,22.314934945764623,0.94677174091339111,16.817752159776397,89.718185424804688,21.938578435712767
1998-03-31,-18.088693618774414,23.245207794705131,1.2299939393997192,17.043565527698714,88.520988464355469,21.249527456778758
1998-06-30,35.958873748779297,21.933490194346032,-1.2129490375518799,25.248644804491629,83.39501953125,26.182042873040228
1998-09-30,,,,,,
1998-12-31,,,,,,
1999-03-31,,,,,,
1999-06-30,,,,,,
1999-09-30,,,,,,
1999-12-31,,,,,,
2000-03-31,,,,,,
2000-06-30,,,,,,
2000-09-30,,,,,,
2000-12-31,,,,,,
2001-03-31,,,,,,
2001-06-30,,,,,,
2001-09-30,,,,,,
2001-12-31,,,,,,
