time,b_g,b_g_std,b_s,b_s_std,b_m,b_m_std
1978-07-31,,,,,,
1978-10-31,9.7611215935219082,29.009347118055917,-3.1792764837190948,34.3781830996232,81.909034222908247,23.738149615955543
1979-01-31,-31.061384292419064,22.206837401989418,-3.347056609396128,21.600209932320151,80.428930275056942,17.138984266833443
1979-04-30,-3.4726695504681739,27.582280152657365,-3.4109212362713537,32.534741550603172,77.784777355086248,22.429853224271184
1979-07-31,31.929687762498368,21.368547799354065,-1.5491533396706305,34.478981208688623,72.036022839642641,26.212355673248283
1979-10-31,6.5646483546984404,27.607386744363875,-3.3486041966310287,33.604782321057989,78.542027151804376,23.207334248471437
1980-01-31,-30.045839463553239,21.511164044333682,-2.5990430412421031,28.488589570165832,76.000703292574599,16.938245410268422
1980-04-30,0.051483501773903886,25.626943133478616,-3.2355840812330379,31.587285546061278,81.390518859513676,19.8716699198919
1980-07-31,32.180874888749017,21.412239951246843,-3.168848348783265,34.672730056961782,72.746713511420495,24.206075252336873
1980-10-31,,,,,,
