time,b_g,b_g_std,b_s,b_s_std,b_m,b_m_std
1995-01-31,,,,,,
1995-04-30,,,,,,
1995-07-31,,,,,,
1995-10-31,12.353303217879304,39.690398881769916,-0.11297638275151464,48.772845880352421,89.988130933183669,24.347118456822656
1996-01-31,-34.127641564470416,31.246824383185373,-0.31620455259919228,39.78370857093342,86.900073951392343,14.203210091186651
1996-04-30,2.6455007383473372,36.935643662822727,-1.6290371161327981,45.311556458502686,89.968427442403353,21.775383282894996
1996-07-31,46.693412626201415,26.803244357464671,-0.11167683995201509,46.88998206051469,86.073226829780424,29.49240579098996
1996-10-31,11.410779469141799,37.804053911814435,-0.4459848348169777,47.167427473357797,89.645413621688533,23.225038531645641
1997-01-31,-33.2915724986035,30.206085736180192,-0.019668021568869369,39.215246836676322,87.519244577152307,13.507232541865974
1997-04-30,4.686548956723037,37.669576417845697,-1.5932890613187662,45.784911978956927,90.487737971322673,22.601606541116471
1997-07-31,46.133781874800682,29.127742957911448,-0.53616223641775562,49.02858276291451,85.205102412854842,29.055541834650409
1997-10-31,12.487846255549147,37.827115478433576,-0.61213486922801896,46.987175223852866,90.306413709660688,23.101348372463704
1998-01-31,-32.975778204104884,32.585373360303912,-0.58630152520473566,40.535553429366381,87.087704930271443,14.16128131449822
1998-04-30,4.5536289156208198,38.497776445094864,-2.0365614181028349,47.00135749014909,88.017977488447002,22.287226361321878
1998-07-31,46.922464137733357,34.304253046608451,-0.41515191311203986,54.174554691915105,81.212238430713839,31.180681477365695
1998-10-31,12.103737915591809,41.444998160002662,-0.1559400243913496,51.17987000010023,88.324390721795169,22.36903862428543
1999-01-31,-30.383258378320377,34.602672133326266,-0.037054641035342943,42.672548086952169,81.688727542896331,14.67695978881412
1999-04-30,4.7460776076605775,39.202853079936133,-1.0169362188920374,47.827034899120356,88.253531455191819,21.985498317322033
1999-07-31,43.213285163951568,30.360302121104027,0.18845344755825497,48.917916852736489,81.018674747877782,26.561765445915164
1999-10-31,13.064342684387285,43.065484255754342,-0.52237281157577509,52.700164243078682,85.31237089836975,23.681448364384448
2000-01-31,-29.56976717928503,35.243189389004336,-0.49571022360332107,42.704781417430944,80.59457145209069,14.586138144438166
2000-04-30,4.8822802661500093,40.688082060196457,-1.1736781533690961,48.83060317541181,86.460918670504057,21.189322432633499
2000-07-31,46.820933407747297,37.052860931330059,0.13609730671587608,57.250841908842382,79.34485511622016,32.127914512464571
2000-10-31,12.643329972540279,43.210758332148501,-0.39437259913852202,53.048766002197574,86.684338928737745,23.519429079523068
2001-01-31,-30.016279919243861,34.465716784440914,-0.75186343311546444,41.823753454458803,81.809781797084327,15.471471804715625
2001-04-30,5.3977616731796099,41.340944244820108,-1.2630479954270839,50.10622528136188,87.101529595954233,22.245125717281333
2001-07-31,44.443945749231858,32.159490459599979,-0.14685866199461745,51.066216778986117,80.013900124110407,28.425338132141707
2001-10-31,12.176451889669558,41.652095425771698,-0.95577594313371594,50.61716364357487,86.136708241994057,24.128107829822056
2002-01-31,-29.639277977581671,36.029937987399713,-1.0511845246799996,43.527249939880356,82.099663575412052,15.78522900315782
2002-04-30,5.6039544756744029,39.328673945483622,-0.88878441536612818,47.26480789586693,88.17571266881437,22.854173517097294
2002-07-31,45.312345686856858,32.201733287500971,-0.24347805791435098,51.675904654636909,80.536794401847743,29.976995615274657
2002-10-31,13.224066796035821,43.377146820934733,-1.1094121746697256,52.29514677445453,85.126809688087562,24.856677038338081
2003-01-31,-28.990892946802944,35.231699819910723,0.0094341555200493678,41.510868031018155,80.720794580725979,16.413866804737886
2003-04-30,2.1583558122300479,40.545766120436753,-1.7586645171835662,49.064530210041603,85.193994065165171,23.38600237905445
2003-07-31,,,,,,
